"id","sex","height"
5696379,"FEMALE",182
3019088,"MALE",168
2038883,"MALE",172
1920587,"FEMALE",154
6006813,"MALE",174
4055945,"FEMALE",176
9263269,"FEMALE",193
4742356,"FEMALE",156
6012071,"MALE",157
4588777,"MALE",186
7658102,"FEMALE",143
9191374,"FEMALE",182
2966901,"MALE",194
7664701,"MALE",187
4809387,"MALE",171
2038741,"MALE",178
8116280,"MALE",157
3322518,"FEMALE",156
2813455,"FEMALE",172
4258650,"MALE",157
2440718,"FEMALE",171
8082319,"FEMALE",164
5162296,"FEMALE",142
9878130,"MALE",140
6754083,"MALE",202
7812732,"FEMALE",176
1642348,"MALE",165
3732849,"FEMALE",176
4863629,"FEMALE",175
1896005,"FEMALE",170
6651538,"MALE",169
7470497,"FEMALE",153
5027487,"MALE",169
1820974,"MALE",158
6826196,"MALE",208
4080344,"FEMALE",185
3345271,"FEMALE",157
2835797,"FEMALE",147
5772105,"FEMALE",160
7786454,"FEMALE",173
6400955,"MALE",164
6879123,"FEMALE",182
6730592,"FEMALE",175
7626431,"MALE",165
6550005,"MALE",194
3133497,"FEMALE",178
3269303,"FEMALE",178
5349025,"MALE",186
8613325,"FEMALE",165
9555998,"FEMALE",180
5048944,"MALE",174
7620837,"FEMALE",169
3065291,"FEMALE",173
8289514,"MALE",199
5405262,"FEMALE",163
2298999,"FEMALE",160
5547781,"FEMALE",172
6281694,"FEMALE",177
1620128,"MALE",165
3528515,"MALE",205
4875142,"FEMALE",193
9440555,"MALE",158
1856448,"FEMALE",180
3999447,"FEMALE",167
9816352,"FEMALE",165
9028964,"MALE",183
7552977,"MALE",171
3409212,"MALE",191
4136343,"MALE",191
9593653,"FEMALE",152
4846567,"MALE",148
9004510,"MALE",176
3676829,"MALE",155
4877702,"MALE",156
3501015,"MALE",177
7747975,"MALE",180
7239432,"FEMALE",186
6076703,"MALE",167
5212741,"FEMALE",174
5527139,"MALE",171
5017878,"MALE",148
1538611,"FEMALE",153
1962489,"FEMALE",136
2928253,"MALE",199
2997594,"FEMALE",161
7939373,"FEMALE",150
3995296,"FEMALE",181
8025872,"FEMALE",166
1944235,"FEMALE",147
6984105,"FEMALE",168
7722435,"MALE",188
4142551,"FEMALE",170
4081528,"FEMALE",189
2753644,"MALE",117
9448072,"FEMALE",174
7085816,"MALE",187
3596409,"FEMALE",141
9383288,"MALE",195
1582961,"FEMALE",129
9805356,"MALE",172
