"id","sex","height"
5696379,"FEMALE",182
3019088,"MALE",168
2038883,"MALE",172
1920587,"FEMALE",154
6006813,"MALE",174
4055945,"FEMALE",176
9263269,"FEMALE",193
4742356,"FEMALE",156
6012071,"MALE",157
4588777,"MALE",186
7658102,"FEMALE",143
9191374,"FEMALE",182
2966901,"MALE",194
7664701,"MALE",187
4809387,"MALE",171
2038741,"MALE",178
8116280,"MALE",157
3322518,"FEMALE",156
2813455,"FEMALE",172
4258650,"MALE",157
2440718,"FEMALE",171
8082319,"FEMALE",164
5162296,"FEMALE",142
9878130,"MALE",140
6754083,"MALE",202
7812732,"FEMALE",176
1642348,"MALE",165
3732849,"FEMALE",176
4863629,"FEMALE",175
1896005,"FEMALE",170
6651538,"MALE",169
7470497,"FEMALE",153
5027487,"MALE",169
1820974,"MALE",158
6826196,"MALE",208
4080344,"FEMALE",185
3345271,"FEMALE",157
2835797,"FEMALE",147
5772105,"FEMALE",160
7786454,"FEMALE",173
6400955,"MALE",164
6879123,"FEMALE",182
6730592,"FEMALE",175
7626431,"MALE",165
6550005,"MALE",194
3133497,"FEMALE",178
3269303,"FEMALE",178
5349025,"MALE",186
8613325,"FEMALE",165
9555998,"FEMALE",180
5048944,"MALE",174
7620837,"FEMALE",169
3065291,"FEMALE",173
8289514,"MALE",199
5405262,"FEMALE",163
2298999,"FEMALE",160
5547781,"FEMALE",172
6281694,"FEMALE",177
1620128,"MALE",165
3528515,"MALE",205
4875142,"FEMALE",193
9440555,"MALE",158
1856448,"FEMALE",180
3999447,"FEMALE",167
9816352,"FEMALE",165
9028964,"MALE",183
7552977,"MALE",171
3409212,"MALE",191
4136343,"MALE",191
9593653,"FEMALE",152
4846567,"MALE",148
9004510,"MALE",176
3676829,"MALE",155
4877702,"MALE",156
3501015,"MALE",177
7747975,"MALE",180
7239432,"FEMALE",186
6076703,"MALE",167
5212741,"FEMALE",174
5527139,"MALE",171
5017878,"MALE",148
1538611,"FEMALE",153
1962489,"FEMALE",136
2928253,"MALE",199
2997594,"FEMALE",161
7939373,"FEMALE",150
3995296,"FEMALE",181
8025872,"FEMALE",166
1944235,"FEMALE",147
6984105,"FEMALE",168
7722435,"MALE",188
4142551,"FEMALE",170
4081528,"FEMALE",189
2753644,"MALE",117
9448072,"FEMALE",174
7085816,"MALE",187
3596409,"FEMALE",141
9383288,"MALE",195
1582961,"FEMALE",129
9805356,"MALE",172
4609145,"FEMALE",154
2769995,"FEMALE",161
5480864,"MALE",175
7349219,"FEMALE",154
4602811,"FEMALE",176
1901324,"FEMALE",169
4631051,"FEMALE",164
9369263,"MALE",194
2372702,"FEMALE",162
5606981,"FEMALE",153
4330359,"MALE",180
9097203,"MALE",160
8951157,"MALE",172
1800723,"FEMALE",164
9016692,"FEMALE",172
1722244,"MALE",171
6441655,"FEMALE",155
5937819,"FEMALE",173
9177780,"MALE",171
5708220,"FEMALE",170
5266236,"MALE",171
8688354,"FEMALE",165
9053507,"MALE",152
2831792,"FEMALE",161
8817288,"MALE",178
2990931,"MALE",182
3907820,"FEMALE",163
7163198,"FEMALE",166
8674992,"MALE",170
1318985,"MALE",183
2378585,"MALE",178
2481358,"MALE",171
6097753,"FEMALE",182
9361486,"MALE",179
9039375,"FEMALE",157
7660408,"FEMALE",173
7485248,"MALE",160
2229324,"FEMALE",150
7218949,"MALE",174
5324994,"FEMALE",143
4008469,"FEMALE",188
1360572,"FEMALE",161
4497022,"FEMALE",149
7532945,"MALE",191
3582648,"FEMALE",182
8237698,"FEMALE",159
6927067,"FEMALE",164
6268717,"MALE",177
6015551,"MALE",173
9854148,"MALE",171
3596342,"FEMALE",153
6018814,"MALE",187
2899924,"MALE",168
4615115,"FEMALE",171
7139726,"FEMALE",195
8743931,"MALE",182
2688033,"FEMALE",173
6334265,"MALE",178
5398350,"FEMALE",168
1331140,"FEMALE",177
6380819,"MALE",169
